Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
5537,HOUSE,HOUSE,799000.0,18.0,580.0,1,0,4.0,1,632.0,0,,0,BUY_REGULAR,,0,10678086,1477.0,802.0
7140,APARTMENT,APARTMENT,129000.0,2.0,95.0,1,0,3.0,0,,1,28.0,0,BUY_REGULAR,GOOD,0,20288520,671.0,
6630,HOUSE,VILLA,900000.0,2.0,183.0,1,0,4.0,0,,1,,0,BUY_REGULAR,,0,20071706,1.0,500.0
6280,APARTMENT,TRIPLEX,189000.0,2.0,76.0,0,0,3.0,0,,1,17.0,0,BUY_REGULAR,AS_NEW,0,20307235,600.0,
6150,HOUSE,VILLA,195000.0,2.0,113.0,0,0,4.0,1,286.0,0,,0,BUY_REGULAR,,0,20324027,,400.0
1410,HOUSE,VILLA,865000.0,6.0,306.0,0,0,4.0,1,2223.0,1,,0,BUY_REGULAR,GOOD,0,20310566,4415.0,2223.0
7000,APARTMENT,APARTMENT,139000.0,2.0,75.0,1,0,3.0,0,,0,,0,BUY_REGULAR,GOOD,0,20369090,812.0,
3500,APARTMENT,APARTMENT,499000.0,3.0,,0,0,,0,,1,11.0,0,BUY_REGULAR,AS_NEW,0,20305231,,
6000,HOUSE,HOUSE,75000.0,4.0,,0,0,3.0,0,,0,,0,PUBLIC_SALE,GOOD,0,20364039,594.0,800.0
7870,HOUSE,HOUSE,165000.0,3.0,135.0,0,0,2.0,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20263934,721.0,138.0
1460,HOUSE,HOUSE,460000.0,3.0,221.0,1,0,,0,,0,,0,BUY_REGULAR,GOOD,0,20304293,,457.0
6706,HOUSE,EXCEPTIONAL_PROPERTY,570000.0,3.0,201.0,0,0,,0,,1,,0,BUY_REGULAR,,0,20308816,609.0,2872.0
2910,HOUSE,HOUSE,315000.0,3.0,130.0,0,0,3.0,1,375.0,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364028,877.0,475.0
2990,HOUSE,HOUSE,299000.0,3.0,138.0,1,0,3.0,1,72.0,0,,0,BUY_REGULAR,TO_RENOVATE,0,20364026,461.0,210.0
2990,HOUSE,HOUSE,320000.0,3.0,150.0,1,0,3.0,0,,1,,0,BUY_REGULAR,TO_RENOVATE,0,20364027,319.0,1314.0
1140,APARTMENT,APARTMENT,190000.0,2.0,93.0,0,0,2.0,0,,1,15.0,0,BUY_REGULAR,TO_RENOVATE,0,20364020,1259.0,
8660,HOUSE,HOUSE,199000.0,2.0,,1,0,,0,,0,,0,BUY_REGULAR,,0,20364021,,
2170,APARTMENT,APARTMENT,129000.0,1.0,50.0,0,0,4.0,0,,1,,0,BUY_REGULAR,GOOD,0,20364025,,
1150,APARTMENT,APARTMENT,455000.0,2.0,110.0,1,0,2.0,0,,0,,0,BUY_REGULAR,AS_NEW,0,20364016,1080.0,
2650,HOUSE,HOUSE,575000.0,5.0,211.0,1,0,,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364012,510.0,160.0
9000,HOUSE,MIXED_USE_BUILDING,850000.0,,,0,0,2.0,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364009,3096.0,
9040,HOUSE,HOUSE,358000.0,3.0,160.0,0,0,2.0,1,388.0,1,,0,BUY_REGULAR,GOOD,0,20364008,,513.0
2060,APARTMENT,LOFT,425000.0,2.0,242.0,1,0,,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20364011,,
9280,HOUSE,HOUSE,160000.0,1.0,190.0,0,0,3.0,0,,1,100.0,0,BUY_REGULAR,,0,20364007,327.0,225.0
7700,HOUSE,HOUSE,179000.0,3.0,140.0,1,0,2.0,1,36.0,1,,0,BUY_REGULAR,GOOD,0,20241679,428.0,120.0
8550,HOUSE,HOUSE,179000.0,2.0,114.0,1,0,2.0,0,,0,,0,BUY_REGULAR,JUST_RENOVATED,0,20184547,312.0,409.0
5640,HOUSE,HOUSE,249000.0,3.0,227.0,1,0,3.0,0,,1,,0,BUY_REGULAR,JUST_RENOVATED,0,20364003,721.0,471.0
2018,HOUSE,HOUSE,425000.0,7.0,250.0,1,0,2.0,1,54.0,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,10006023,1227.0,175.0
3620,HOUSE,HOUSE,235000.0,3.0,179.0,0,0,4.0,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364002,579.0,656.0
8470,HOUSE,HOUSE,299000.0,4.0,183.0,0,0,,0,,1,,0,BUY_REGULAR,JUST_RENOVATED,0,20364000,506.0,171.0
6464,HOUSE,HOUSE,39000.0,3.0,95.0,0,0,,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20364001,,160.0
2230,HOUSE,HOUSE,493900.0,3.0,176.0,1,0,3.0,0,,0,,0,BUY_REGULAR,AS_NEW,0,20363999,,539.0
2170,APARTMENT,APARTMENT,195000.0,2.0,80.0,1,0,,0,,0,,0,BUY_REGULAR,,0,20363573,,
8433,HOUSE,HOUSE,250000.0,3.0,146.0,0,0,3.0,1,108.0,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20256437,535.0,336.0
8310,APARTMENT,APARTMENT,179000.0,2.0,88.0,0,0,,0,,1,,0,BUY_REGULAR,GOOD,0,20363997,,
1932,HOUSE,HOUSE,595000.0,4.0,,1,0,3.0,1,80.0,1,20.0,0,BUY_REGULAR,AS_NEW,0,20363994,1212.0,234.0
1820,HOUSE,VILLA,649000.0,5.0,300.0,1,0,4.0,1,1150.0,1,,0,BUY_REGULAR,GOOD,0,20363993,2476.0,1728.0
8560,HOUSE,HOUSE,185000.0,3.0,193.0,0,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20332570,554.0,488.0
8310,APARTMENT,GROUND_FLOOR,379000.0,2.0,97.0,0,0,,1,267.0,1,,0,BUY_REGULAR,GOOD,0,20363987,,
3720,APARTMENT,APARTMENT,299950.0,2.0,,0,0,,0,,1,9.0,0,BUY_REGULAR,GOOD,0,20299993,779.0,
